ID,SOLVER,FASE,RUN,TIEMPO,Z,STATUS,SUMMARY,NOTES
fase2_scip_run1,scip,fase2,1,0.0100000000,3055.1400000000,0,,Solucion base para rehabilitacion
fase2_scip_run2,scip,fase2,2,0.0090000000,3055.1400000000,0,,
fase2_scip_run3,scip,fase2,3,0.0090000000,3055.1400000000,0,,
fase2_scip_run4,scip,fase2,4,0.0090000000,3055.1400000000,0,,
fase2_scip_run5,scip,fase2,5,0.0090000000,3055.1400000000,0,,
fase2_scip_run6,scip,fase2,6,0.0090000000,3055.1400000000,0,,
fase2_scip_run7,scip,fase2,7,0.0090000000,3055.1400000000,0,,
fase2_scip_run8,scip,fase2,8,0.0090000000,3055.1400000000,0,,
fase2_scip_run9,scip,fase2,9,0.0090000000,3055.1400000000,0,,
fase2_scip_run10,scip,fase2,10,0.0090000000,3055.1400000000,0,,
fase2_scip_run11,scip,fase2,11,0.0090000000,3055.1400000000,0,,
fase2_scip_run12,scip,fase2,12,0.0090000000,3055.1400000000,0,,
fase2_scip_run13,scip,fase2,13,0.0090000000,3055.1400000000,0,,
fase2_scip_run14,scip,fase2,14,0.0090000000,3055.1400000000,0,,
fase2_scip_run15,scip,fase2,15,0.0100000000,3055.1400000000,0,,
fase2_scip_run16,scip,fase2,16,0.0100000000,3055.1400000000,0,,
fase2_scip_run17,scip,fase2,17,0.0090000000,3055.1400000000,0,,
fase2_scip_run18,scip,fase2,18,0.0090000000,3055.1400000000,0,,
fase2_scip_run19,scip,fase2,19,0.0090000000,3055.1400000000,0,,
fase2_scip_run20,scip,fase2,20,0.0090000000,3055.1400000000,0,,
fase2_scip_run21,scip,fase2,21,0.0090000000,3055.1400000000,0,,
fase2_scip_run22,scip,fase2,22,0.0090000000,3055.1400000000,0,,
fase2_scip_run23,scip,fase2,23,0.0090000000,3055.1400000000,0,,
fase2_scip_run24,scip,fase2,24,0.0090000000,3055.1400000000,0,,
fase2_scip_run25,scip,fase2,25,0.0090000000,3055.1400000000,0,,
fase2_scip_run26,scip,fase2,26,0.0090000000,3055.1400000000,0,,
fase2_scip_run27,scip,fase2,27,0.0090000000,3055.1400000000,0,,
fase2_scip_run28,scip,fase2,28,0.0090000000,3055.1400000000,0,,
fase2_scip_run29,scip,fase2,29,0.0090000000,3055.1400000000,0,,
fase2_scip_run30,scip,fase2,30,0.0090000000,3055.1400000000,0,,
fase2_scip_run31,scip,fase2,31,0.0090000000,3055.1400000000,0,,
fase2_scip_run32,scip,fase2,32,0.0090000000,3055.1400000000,0,,
fase2_scip_run33,scip,fase2,33,0.0090000000,3055.1400000000,0,,
fase2_scip_run34,scip,fase2,34,0.0090000000,3055.1400000000,0,,
fase2_scip_run35,scip,fase2,35,0.0090000000,3055.1400000000,0,,
fase2_scip_run36,scip,fase2,36,0.0090000000,3055.1400000000,0,,
fase2_scip_run37,scip,fase2,37,0.0090000000,3055.1400000000,0,,
fase2_scip_run38,scip,fase2,38,0.0090000000,3055.1400000000,0,,
fase2_scip_run39,scip,fase2,39,0.0090000000,3055.1400000000,0,,
fase2_scip_run40,scip,fase2,40,0.0090000000,3055.1400000000,0,,
fase2_scip_run41,scip,fase2,41,0.0090000000,3055.1400000000,0,,
fase2_scip_run42,scip,fase2,42,0.0090000000,3055.1400000000,0,,
fase2_scip_run43,scip,fase2,43,0.0090000000,3055.1400000000,0,,
fase2_scip_run44,scip,fase2,44,0.0090000000,3055.1400000000,0,,
fase2_scip_run45,scip,fase2,45,0.0090000000,3055.1400000000,0,,
fase2_scip_run46,scip,fase2,46,0.0090000000,3055.1400000000,0,,
fase2_scip_run47,scip,fase2,47,0.0090000000,3055.1400000000,0,,
fase2_scip_run48,scip,fase2,48,0.0090000000,3055.1400000000,0,,
fase2_scip_run49,scip,fase2,49,0.0090000000,3055.1400000000,0,,
fase2_scip_run50,scip,fase2,50,0.0090000000,3055.1400000000,0,,
fase2_sat_run1,sat,fase2,1,0.0040000000,3055.1400000000,0,,
fase2_sat_run2,sat,fase2,2,0.0030000000,3055.1400000000,0,,
fase2_sat_run3,sat,fase2,3,0.0030000000,3055.1400000000,0,,
fase2_sat_run4,sat,fase2,4,0.0030000000,3055.1400000000,0,,
fase2_sat_run5,sat,fase2,5,0.0030000000,3055.1400000000,0,,
fase2_sat_run6,sat,fase2,6,0.0020000000,3055.1400000000,0,,
fase2_sat_run7,sat,fase2,7,0.0030000000,3055.1400000000,0,,
fase2_sat_run8,sat,fase2,8,0.0030000000,3055.1400000000,0,,
fase2_sat_run9,sat,fase2,9,0.0030000000,3055.1400000000,0,,
fase2_sat_run10,sat,fase2,10,0.0020000000,3055.1400000000,0,,
fase2_sat_run11,sat,fase2,11,0.0030000000,3055.1400000000,0,,
fase2_sat_run12,sat,fase2,12,0.0030000000,3055.1400000000,0,,
